anomaly_id,transaction_id,user_id,timestamp,anomaly_type,severity,likelihood,exposure_inr,reason
ANO_GT_000001,TX_ANO_FAL_6C9AEBED,USR_06257,2026-08-23 19:41:07+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 1/5
ANO_GT_000002,TX_ANO_FAL_88EF83ED,USR_06257,2026-08-23 19:44:07+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 2/5
ANO_GT_000003,TX_ANO_FAL_97813F76,USR_06257,2026-08-23 19:47:07+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 3/5
ANO_GT_000004,TX_ANO_FAL_FA6B0D86,USR_06257,2026-08-23 19:50:07+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 4/5
ANO_GT_000005,TX_ANO_FAL_EAEA147C,USR_06257,2026-08-23 19:53:07+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 5/5
ANO_GT_000006,TX_ANO_VEL_B0E29CB0,USR_01181,2026-09-13 08:10:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000007,TX_ANO_VEL_ECADD78F,USR_01181,2026-09-13 08:12:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000008,TX_ANO_VEL_BB2E9023,USR_01181,2026-09-13 08:14:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000009,TX_ANO_VEL_5D93D67D,USR_01181,2026-09-13 08:16:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000010,TX_ANO_VEL_07693A01,USR_01181,2026-09-13 08:18:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000011,TX_ANO_VEL_AEB46DD1,USR_01181,2026-09-13 08:20:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000012,TX_ANO_VEL_1BA7B95C,USR_01181,2026-09-13 08:22:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000013,TX_ANO_VEL_FF871EF5,USR_01181,2026-09-13 08:24:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000014,TX_ANO_VEL_B1905C30,USR_01181,2026-09-13 08:26:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000015,TX_ANO_VEL_C9E2369D,USR_01181,2026-09-13 08:28:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000016,TX_ANO_VEL_29A9FE8D,USR_01181,2026-09-13 08:30:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000017,TX_ANO_VEL_BCC87FAF,USR_01181,2026-09-13 08:32:37+00:00,VELOCITY_BURST,4,5,8950.0,Synthetic injection: high-velocity burst of 12 tx in 20 mins
ANO_GT_000018,TX_ANO_FAL_EE97F899,USR_09151,2026-09-04 04:25:56+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 1/4
ANO_GT_000019,TX_ANO_FAL_754E93C1,USR_09151,2026-09-04 04:28:56+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 2/4
ANO_GT_000020,TX_ANO_FAL_314258F4,USR_09151,2026-09-04 04:31:56+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 3/4
ANO_GT_000021,TX_ANO_FAL_C7A09948,USR_09151,2026-09-04 04:34:56+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 4/4
ANO_GT_000022,TX_ANO_FAL_A5FD8391,USR_03646,2026-08-10 19:13:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 1/6
ANO_GT_000023,TX_ANO_FAL_478AF520,USR_03646,2026-08-10 19:16:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 2/6
ANO_GT_000024,TX_ANO_FAL_1E8444FC,USR_03646,2026-08-10 19:19:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 3/6
ANO_GT_000025,TX_ANO_FAL_B410C8F5,USR_03646,2026-08-10 19:22:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 4/6
ANO_GT_000026,TX_ANO_FAL_5060857F,USR_03646,2026-08-10 19:25:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 5/6
ANO_GT_000027,TX_ANO_FAL_DB69A9C1,USR_03646,2026-08-10 19:28:54+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 6/6
ANO_GT_000028,TX_ANO_SPK_1D27480B,USR_05174,2026-09-06 02:36:03+00:00,BASELINE_SPIKE,4,5,52133.82,"Synthetic injection: extreme baseline value spike (₹52,133.82)"
ANO_GT_000029,TX_ANO_SPK_F3903355,USR_01567,2026-09-12 07:06:49+00:00,BASELINE_SPIKE,4,5,39070.94,"Synthetic injection: extreme baseline value spike (₹39,070.94)"
ANO_GT_000030,TX_ANO_SPK_6B5D9C8D,USR_08058,2026-08-01 20:02:42+00:00,BASELINE_SPIKE,4,5,30797.15,"Synthetic injection: extreme baseline value spike (₹30,797.15)"
ANO_GT_000031,TX_ANO_FAL_8B1380EF,USR_05260,2026-09-12 01:19:19+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 1/6
ANO_GT_000032,TX_ANO_FAL_26827721,USR_05260,2026-09-12 01:22:19+00:00,REPEATED_FAILURES,3,4,10000.0,Synthetic injection: repeated failure attempt 2/6
