user_id,signup_date,country,user_segment,account_type,risk_tier,base_spend_mean,base_spend_std,activity_freq
USR_00001,2026-07-13,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,3
USR_00002,2026-04-16,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00003,2026-05-29,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,9
USR_00004,2026-01-22,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,84
USR_00005,2026-01-24,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,7
USR_00006,2025-09-10,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,78
USR_00007,2025-11-07,IND,Active Trader,Individual_Tier2_KYC,Medium,45000.0,15000.0,103
USR_00008,2025-09-21,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00009,2025-12-15,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,12
USR_00010,2025-10-23,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,5
USR_00011,2026-08-29,ARE,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,7
USR_00012,2025-11-17,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,38
USR_00013,2026-03-23,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,12
USR_00014,2026-05-26,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,8
USR_00015,2025-09-26,USA,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,2
USR_00016,2026-03-28,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,11
USR_00017,2026-05-02,IND,Institutional / HNW,Corporate,Medium,500000.0,150000.0,58
USR_00018,2026-04-14,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,6
USR_00019,2026-04-17,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,111
USR_00020,2025-08-01,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,10
USR_00021,2025-12-01,IND,Retail Casual,Individual_Tier1,High,4500.0,2500.0,6
USR_00022,2025-09-05,ARE,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,92
USR_00023,2026-06-07,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,10
USR_00024,2026-02-21,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,69
USR_00025,2026-01-21,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
USR_00026,2025-11-26,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,2
USR_00027,2025-11-18,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,9
USR_00028,2026-09-18,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,9
USR_00029,2026-07-11,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,2
USR_00030,2025-11-07,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00031,2026-03-15,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,3
USR_00032,2025-10-25,USA,Retail Casual,Individual_Tier2_KYC,Medium,4500.0,2500.0,5
USR_00033,2026-02-16,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,2
USR_00034,2026-07-05,IND,Retail Casual,Individual_Tier2_KYC,Medium,4500.0,2500.0,10
USR_00035,2025-09-01,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,10
USR_00036,2025-08-30,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,4
USR_00037,2026-02-23,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,60
USR_00038,2026-05-26,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,12
USR_00039,2026-02-19,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,6
USR_00040,2026-03-23,IND,Retail Casual,Individual_Tier2_KYC,Medium,4500.0,2500.0,2
USR_00041,2025-09-05,IND,Institutional / HNW,Corporate,Low,500000.0,150000.0,37
USR_00042,2026-04-28,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,12
USR_00043,2025-12-14,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,47
USR_00044,2025-11-13,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,7
USR_00045,2025-09-17,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,36
USR_00046,2026-06-23,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,46
USR_00047,2026-07-20,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
USR_00048,2026-01-05,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,2
USR_00049,2025-11-16,GBR,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,75
USR_00050,2026-08-19,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,11
USR_00051,2026-02-28,IND,Active Trader,Individual_Tier2_KYC,High,45000.0,15000.0,52
USR_00052,2025-12-15,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,5
USR_00053,2026-03-24,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00054,2025-11-07,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,114
USR_00055,2026-02-21,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,10
USR_00056,2026-05-25,ARE,Retail Casual,Individual_Tier1,Medium,4500.0,2500.0,4
USR_00057,2026-04-19,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,11
USR_00058,2025-08-01,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,85
USR_00059,2025-11-09,IND,Active Trader,Individual_Tier2_KYC,Medium,45000.0,15000.0,115
USR_00060,2026-08-04,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,3
USR_00061,2025-11-07,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,4
USR_00062,2026-05-19,IND,Active Trader,Individual_Tier2_KYC,Medium,45000.0,15000.0,108
USR_00063,2026-06-07,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,11
USR_00064,2026-07-04,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,4
USR_00065,2026-07-11,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00066,2026-06-09,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,90
USR_00067,2026-02-21,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,9
USR_00068,2026-09-03,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
USR_00069,2025-10-02,SGP,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,5
USR_00070,2026-01-10,IND,Active Trader,Individual_Tier2_KYC,High,45000.0,15000.0,106
USR_00071,2026-03-17,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,100
USR_00072,2025-12-20,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,111
USR_00073,2026-01-19,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,6
USR_00074,2025-09-02,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00075,2026-08-30,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,8
USR_00076,2025-12-31,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,7
USR_00077,2026-09-14,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,99
USR_00078,2026-07-09,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,7
USR_00079,2026-05-01,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,11
USR_00080,2026-03-25,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,4
USR_00081,2025-12-21,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,8
USR_00082,2026-01-27,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,36
USR_00083,2025-11-11,SGP,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,5
USR_00084,2026-03-27,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,5
USR_00085,2026-09-03,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
USR_00086,2026-02-20,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,8
USR_00087,2026-07-17,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,6
USR_00088,2026-07-05,GBR,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,8
USR_00089,2026-03-10,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
USR_00090,2026-08-11,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,52
USR_00091,2026-08-10,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,8
USR_00092,2025-12-03,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,9
USR_00093,2026-04-07,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,4
USR_00094,2026-05-12,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,6
USR_00095,2026-05-12,IND,Active Trader,Individual_Tier2_KYC,Low,45000.0,15000.0,92
USR_00096,2025-11-22,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,6
USR_00097,2026-03-06,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,7
USR_00098,2026-08-05,IND,Retail Casual,Individual_Tier1,Low,4500.0,2500.0,3
USR_00099,2026-08-14,IND,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,5
USR_00100,2025-11-08,GBR,Retail Casual,Individual_Tier2_KYC,Low,4500.0,2500.0,3
