anomaly_id,transaction_id,user_id,timestamp,anomaly_type,metric_name,observed_value,baseline_value,deviation_score,detector_method,explanation
ANO_226B813F94,TX_0965955BCA9A,USR_00274,2026-08-01 14:17:11+05:30,ABNORMAL_FEE,fee_inr,695.18,165.72,4.19,IQR_UPPER_FENCE,Platform fee ₹695.18 breaches the asset's IQR upper fence of ₹165.72.
ANO_4E8EAF1392,TX_602049C59D3A,USR_04705,2026-08-01 15:10:32+05:30,ABNORMAL_FEE,fee_inr,316.85,169.26,1.87,IQR_UPPER_FENCE,Platform fee ₹316.85 breaches the asset's IQR upper fence of ₹169.26.
ANO_426000775C,TX_3C9AB867558F,USR_08302,2026-08-01 15:19:39+05:30,ABNORMAL_FEE,fee_inr,412.69,161.96,2.55,IQR_UPPER_FENCE,Platform fee ₹412.69 breaches the asset's IQR upper fence of ₹161.96.
ANO_54D22F8EA7,TX_BE8369390864,USR_04725,2026-08-01 17:12:24+05:30,BASELINE_SPIKE,user_baseline_zscore,75599.76,10989.57,4.31,ROLLING_ZSCORE,"Transaction value ₹75,599.76 is 4.3σ above user's rolling historical baseline of ₹10,989.57."
ANO_F3B4002CA5,TX_9C9440D56B91,USR_01328,2026-08-01 17:16:13+05:30,ABNORMAL_FEE,fee_inr,524.92,166.3088,3.16,IQR_UPPER_FENCE,Platform fee ₹524.92 breaches the asset's IQR upper fence of ₹166.31.
ANO_A54A2A211F,TX_19D6DECC1CBA,USR_00437,2026-08-01 17:33:41+05:30,ABNORMAL_FEE,fee_inr,638.03,169.26,3.77,IQR_UPPER_FENCE,Platform fee ₹638.03 breaches the asset's IQR upper fence of ₹169.26.
ANO_BF3449E78E,TX_F4ABECE4D485,USR_03512,2026-08-01 20:16:05+05:30,ABNORMAL_FEE,fee_inr,398.33,161.96,2.46,IQR_UPPER_FENCE,Platform fee ₹398.33 breaches the asset's IQR upper fence of ₹161.96.
ANO_4416B8FC04,TX_8D6DAEEBCC9C,USR_07351,2026-08-01 21:46:15+05:30,ABNORMAL_FEE,fee_inr,419.98,169.26,2.48,IQR_UPPER_FENCE,Platform fee ₹419.98 breaches the asset's IQR upper fence of ₹169.26.
ANO_9B27779F63,TX_B60E65AE288D,USR_09817,2026-08-01 22:50:39+05:30,ABNORMAL_FEE,fee_inr,543.35,165.72,3.28,IQR_UPPER_FENCE,Platform fee ₹543.35 breaches the asset's IQR upper fence of ₹165.72.
ANO_9B1166D0DE,TX_99A7ABFBC3F4,USR_08444,2026-08-02 01:35:04+05:30,ABNORMAL_FEE,fee_inr,484.92,169.26,2.86,IQR_UPPER_FENCE,Platform fee ₹484.92 breaches the asset's IQR upper fence of ₹169.26.
