incident_id,anomaly_id,transaction_id,user_id,created_at,severity,likelihood,exposure_inr,priority_score,priority_band,rationale,recommendation,status
INC_A9C2F36FC0,ANO_604EC23AC4,TX_ANO_WTH_EABD8162,USR_07088,2026-09-15 11:37:05+05:30,5,5,772557.31,338.94,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹772,557.31) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_1862D3349F,ANO_A6F76F6741,TX_ANO_WTH_65A2FA4C,USR_07552,2026-09-08 20:24:31+05:30,5,5,652971.6,334.73,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹652,971.60) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_6405AD1551,ANO_6BAAF1C176,TX_ANO_WTH_83A0E104,USR_03275,2026-08-31 10:55:55+05:30,5,5,563823.55,331.06,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹563,823.55) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_287F0DD9FC,ANO_DCFAECA32E,TX_ANO_WTH_29F3833C,USR_01389,2026-08-03 04:41:19+05:30,5,5,259638.54,311.68,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹259,638.54) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_4D72D799D0,ANO_7D48C5C8D0,TX_06079265A4A2,USR_01837,2026-09-10 23:07:55+05:30,5,5,59924.46,275.02,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹59,924.46) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_6F9EBBBCCF,ANO_8237AD6082,TX_ANO_WTH_3CED331C,USR_00442,2026-08-28 21:44:22+05:30,4,5,787405.08,271.53,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹787,405.08) exceeding risk threshold.",Initiate outbound phone verification; inspect recent device IP and 2FA changes; check order book liquidity depth.,OPEN
INC_6F279EEF38,ANO_09300CD377,TX_ANO_WTH_785C0DC4,USR_03863,2026-08-18 14:25:35+05:30,4,5,520706.92,263.26,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹520,706.92) exceeding risk threshold.",Initiate outbound phone verification; inspect recent device IP and 2FA changes; check order book liquidity depth.,OPEN
INC_396A7EAFC5,ANO_46D7BF3547,TX_ANO_DEP_01BE55FF,USR_02782,2026-09-10 20:21:28+05:30,4,5,460412.91,260.8,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹460,412.91) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_ACC1E4C0D2,ANO_D39597E351,TX_ANO_WTH_8CFB74BC,USR_04822,2026-08-22 11:45:36+05:30,4,5,459238.53,260.75,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹459,238.53) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_90EA554F34,ANO_321364EA31,TX_ANO_DEP_EEBA1EA7,USR_08102,2026-08-04 15:41:20+05:30,4,5,303037.28,252.43,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹303,037.28) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_800A4DD2F9,ANO_68F29A2E58,TX_ANO_FEE_650F8364,USR_04649,2026-08-04 12:40:01+05:30,4,5,84154.8,226.81,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹84,154.80) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_C17D8D4F80,ANO_2AAC7AE4DF,TX_AFD9B3E17FB8,USR_06934,2026-08-10 02:26:29+05:30,4,4,867273.41,218.77,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹867,273.41) exceeding risk threshold.",Initiate outbound phone verification; inspect recent device IP and 2FA changes; check order book liquidity depth.,OPEN
INC_55DD6E3698,ANO_921EA3A118,TX_7A512820BD25,USR_04991,2026-08-10 22:59:25+05:30,4,4,847446.33,218.4,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹847,446.33) exceeding risk threshold.",Initiate outbound phone verification; inspect recent device IP and 2FA changes; check order book liquidity depth.,OPEN
INC_0C40625610,ANO_7DB0030B0C,TX_ANO_SPK_37D85EDA,USR_06408,2026-08-14 23:34:25+05:30,4,5,53047.56,217.58,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹53,047.56) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
