market_symbol,asset_id,date_key,timestamp,price,high,low,volume_24h,change_24h_pct,bid,ask
ARTFIINR,ARTFI,20260920,2026-09-20 17:21:08+05:30,0.0655,0.0672,0.0648,38268.8541,-2.5472,0.0648,0.0655
BRISEINR,BRISE,20260920,2026-09-20 17:21:08+05:30,0.0,0.0,0.0,296410.1179,-4.0928,0.0,0.0
DENTINR,DENT,20260920,2026-09-20 17:21:08+05:30,0.0068,0.0075,0.0066,211469.1836,-3.2078,0.0066,0.0068
DOGSINR,DOGS,20260920,2026-09-20 17:21:08+05:30,0.0046,0.0049,0.0045,64318.4968,-4.6198,0.0045,0.0046
DYMINR,DYM,20260920,2026-09-20 17:21:08+05:30,1.6298,1.756,1.6257,38597.0558,-3.3792,1.6143,1.6242
ETCINR,ETC,20260920,2026-09-20 17:21:08+05:30,833.4,867.0,804.8,354316.4419,0.3734,814.9,840.4
HBARINR,HBAR,20260920,2026-09-20 17:21:08+05:30,8.1264,8.3043,7.9001,1353331.0967,1.3937,8.0108,8.1453
HUMAINR,HUMA,20260920,2026-09-20 17:21:08+05:30,2.2537,2.5367,2.25,11717.8806,-11.1562,2.2415,2.3076
JOEINR,JOE,20260920,2026-09-20 17:21:08+05:30,3.38,3.543,3.112,87910.8709,8.6118,3.138,3.284
MANTRAINR,MANTRA,20260920,2026-09-20 17:21:08+05:30,0.4276,0.4518,0.42,155727.0442,-3.5416,0.4201,0.4276
MTLINR,MTL,20260920,2026-09-20 17:21:08+05:30,30.39,31.3,29.27,7326.8421,5.7779,29.22,30.58
NEOINR,NEO,20260920,2026-09-20 17:21:08+05:30,227.792,249.132,227.792,45897.0223,-3.9562,227.877,235.777
OGNINR,OGN,20260920,2026-09-20 17:21:08+05:30,1.9109,1.9714,1.8498,298677.9534,3.0135,1.8275,1.8907
ONDOINR,ONDO,20260920,2026-09-20 17:21:08+05:30,40.602,43.756,39.713,5850044.3769,-0.9248,40.615,40.892
PEPEINR,PEPE,20260920,2026-09-20 17:21:08+05:30,0.0004,0.0004,0.0004,8555690.7152,3.6753,0.0004,0.0004
PROINR,PRO,20260920,2026-09-20 17:21:08+05:30,35.38,38.16,35.14,215781.975,-0.5901,35.14,35.36
