transaction_id,user_id,asset_id,date_key,timestamp,transaction_type,side,quantity,price,gross_value,fee,net_value,status,payment_method,device_type,is_injected_anomaly,injected_typology
TX_E68FB493A124,USR_04248,USDT,20260801,2026-08-01 06:14:05+05:30,TRADE,BUY,522.36896423,89.3859,46692.42,70.04,46762.46,COMPLETED,INTERNAL_MATCH,MOBILE_APP,False,
TX_FE02B605CD35,USR_08806,BTC,20260801,2026-08-01 07:28:02+05:30,DEPOSIT,,0.00575428,7588699.4571,43667.5,0.0,43667.5,COMPLETED,UPI,MOBILE_APP,False,
TX_34AA101F7408,USR_06514,BTC,20260801,2026-08-01 08:59:08+05:30,DEPOSIT,,0.00534947,7793001.9573,41688.41,0.0,41688.41,COMPLETED,IMPS,MOBILE_APP,False,
TX_FBC1D2ADE034,USR_08336,USDT,20260801,2026-08-01 08:59:12+05:30,WITHDRAWAL,,26.62039154,89.6666,2386.96,10.0,2376.96,COMPLETED,ON_CHAIN_TRANSFER,MOBILE_APP,False,
TX_FE5035C336A7,USR_09323,USDT,20260801,2026-08-01 11:31:25+05:30,WITHDRAWAL,,437.17233855,89.2766,39029.26,10.0,39019.26,COMPLETED,ON_CHAIN_TRANSFER,MOBILE_APP,False,
TX_B03F6C8EE908,USR_05947,USDT,20260801,2026-08-01 11:54:03+05:30,TRADE,BUY,392.66107342,89.6439,35199.67,52.8,35252.47,COMPLETED,INTERNAL_MATCH,MOBILE_APP,False,
TX_2BCF74D80554,USR_04136,POL,20260801,2026-08-01 13:00:15+05:30,TRADE,SELL,515.88072616,46.3203,23895.75,35.84,23859.91,COMPLETED,INTERNAL_MATCH,MOBILE_APP,False,
TX_ANO_VEL_3052F87D,USR_05315,USDT,20260801,2026-08-01 13:07:04+05:30,TRADE,BUY,100.0,89.5,8950.0,13.42,8963.42,COMPLETED,INTERNAL_MATCH,API_KEY,True,VELOCITY_BURST
TX_C1CEF6F0A4EA,USR_03630,BTC,20260801,2026-08-01 13:12:56+05:30,TRADE,BUY,0.00526595,7916725.6806,41689.08,62.53,41751.61,COMPLETED,INTERNAL_MATCH,MOBILE_APP,False,
TX_310F6944292D,USR_02038,USDT,20260801,2026-08-01 13:19:29+05:30,TRADE,SELL,26.49936392,89.4546,2370.49,3.56,2366.93,COMPLETED,INTERNAL_MATCH,WEB_PORTAL,False,
TX_50D40E854796,USR_06348,USDT,20260801,2026-08-01 13:24:20+05:30,WITHDRAWAL,,525.93451083,89.2178,46922.72,10.0,46912.72,COMPLETED,ON_CHAIN_TRANSFER,MOBILE_APP,False,
